CATEGORY,BARCODE,NAME,PRICE,PRICE_NORMALIZED,IMAGE,PL,CATEGORY_NAME,UNIT,DISPLAY,retailer_name,from,until,null,PRICE         
14,5201054002094,TOTAL 2% 1KG,3.90,3.90,7079032.jpg,0,Γιαούρτι από Γάλα Αγελάδος Χωρίς Γεύσεις (Χαμηλά Λιπαρά <2%),kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
14,5202336035700,AB ΓΙΑΟΥΡΤΙ ΑΓΕΛΑΔΟΣ 2% 3Χ200ΓΡ,1.30,2.17,7080184.jpg,1,Γιαούρτι από Γάλα Αγελάδος Χωρίς Γεύσεις (Χαμηλά Λιπαρά <2%),kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
15,5202336106974,ΑΒ ΦΕΤΑ ΠΟΠ ΤΡΙΠΟΛΕΩΣ 400G VACUUM,3.95,9.88,7309470.jpg,1,Τυρί Φέτα,kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
16,34144992,GOUDA ΓΕΡΜΑΝΙΑΣ  ΦΡΑΤΖΟΛΑ,6.40,6.40,default_kalathi.png,1,Τυρί Γκούντα,kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
16,5201953990713,GOUDA ΣΕ ΦΕΤΕΣ 400ΓΡ,2.75,6.88,7301299.jpg,1,Τυρί Γκούντα,kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
17,5202336068197,ΑΒ ΗΜΙΣΚΛΗΡΟ ΤΥΡΙ ΦΕΤΕΣ 200ΓΡ LIGHT,1.92,9.60,7561593.jpg,1,Τυρί με Χαμηλά Λιπαρά,kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
18,5201106271270,PUMMARO PASSATA ΚΛΑΣΙΚΟ 500GR,0.67,1.34,default_kalathi.png,0,Χυμός Τομάτας Διατηρημένος,kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
18,GRHC3270464,GUSTONA 6/8 ΠΑΣΑΤΑ ΤΟΜΑΤΑ 500G,0.57,1.14,7718936.jpg,1,Χυμός Τομάτας Διατηρημένος,kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
19,5202336137152,AB ΑΥΓΑ 10ΑΔΑ ΑΧΥΡΩΝΑ LARGE 63/73GR,3.29,0.33,7624168.jpg,1,Αυγά,τμχ,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
19,5202336137176,AB ΑΥΓΑ 12ΑΔΑ ΜΕDIUM 53/63GR,2.65,0.22,7624159.jpg,1,Αυγά,τμχ,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
20,5208069003115,SUPER FRESCO ΜΑΡΓΑΡ.ΚΛΑΣΙΚΟ 200G,0.75,3.75,7633040.jpg,0,Μαργαρίνες,kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
21,5202336008858,ΑΒ ΕΧΤΡΑ ΠΑΡΘ.ΕΛΑΙΟΛΑΔΟ 1LTΦ/ΠΛΑΣΤ,10.90,10.90,7062286.jpg,1,Παρθένο Ελαιόλαδο,lt,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
22,5202336154029,GUSTONA ΗΛΙΕΛΑΙΟ 2LT,2.98,1.49,default_kalathi.png,1,Ηλιέλαιο,lt,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
23,5201310722292,ΥΦΑΝΤΗΣ ΑΡΑΚΑΣ 800G+200G ΔΩΡΟ,2.86,2.86,7637352.jpg,0,Λαχανικά Κατεψυγμένα,kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
23,5201310722315,ΥΦΑΝΤΗΣ ΦΑΣΟΛΙ ΣΤΡΟΓ. 800G+200G ΔΩΡΟ,2.58,2.58,7637367.jpg,0,Λαχανικά Κατεψυγμένα,kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
24,5202336024438,ΑΒ ΖΑΧΑΡΗ ΛΕΥΚΗ ΚΡΥΣ/ΚΗ Ε.Ε.1KG,0.85,0.85,7473026.jpg,1,Λευκή Ζάχαρη,kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
